Prevalencia	Humedad.relativa__mean	Temperatura__mean	Viento__mean	Humedad.relativa__mean.1	Temperatura__mean.1	Viento__mean.1	Humedad.relativa__mean.2	Temperatura__mean.2	Viento__mean.2	Humedad.relativa__mean.3	Temperatura__mean.3	Viento__mean.3	Humedad.relativa__mean.4	Temperatura__mean.4	Viento__mean.4	Humedad.relativa__mean.5	Temperatura__mean.5	Viento__mean.5	Humedad.relativa__mean.6	Temperatura__mean.6	Viento__mean.6	Precipitacion__sum	Precipitacion__sum.1	Precipitacion__sum.2	Precipitacion__sum.3	Precipitacion__sum.4	Precipitacion__sum.5	Precipitacion__sum.6
0	75.5336003	21.8902679	7.156379	61.6147243	22.1140446	8.0928679	62.8126261	24.8025006	7.6005083	56.2746749	26.3158221	5.6755657	85.3356405	24.1033075	7.1632287	78.3731051	24.6794868	5.7658078	88.3325778	21.8103103	11.0272245	49.9856859	15.1527322	14.8601209	0.3714367	85.8222141	26.4065	82.9613232
0	57.8169037	22.432723	8.3427987	61.8617223	24.7659523	6.4497913	61.6657869	26.231922	5.665598	84.4197295	24.3723935	6.5367531	80.4979821	23.8436255	6.3883207	89.2865509	21.9591936	9.4214493	75.8096636	19.563074	5.8003453	14.0425672	12.880445	30.1028921	71.8051149	56.2968513	87.0309596	17.4788998
0	65.7144655	23.4290027	8.6438277	68.9994641	25.6791894	7.1773048	68.724607	27.2611957	8.735804	84.5732059	26.5944219	8.6136482	76.9780478	26.423599	7.9297039	83.3250936	24.3793364	11.3939495	71.6817869	21.6472909	8.7921063	25.7714947	29.3919896	32.7002539	180.3123756	26.3972839	53.2530819	5.1842646
1	67.2597388	23.6360921	7.1678464	69.8557062	25.8407059	7.1874317	67.7158649	27.7818662	8.5023931	82.878322	27.3114048	9.8402281	75.6715152	27.0435301	7.8065555	83.2837633	24.8420642	10.6060972	71.1082657	22.4052197	9.4947787	29.8351456	17.5349718	10.1435019	170.3648372	31.1780384	75.9602313	6.4153836
0	67.2363276	23.4804699	6.6527487	70.1221225	25.6711095	6.7649708	69.1772284	27.5424805	8.2642627	81.4938688	27.6361932	10.0279131	75.4205972	27.0173838	7.7807677	83.1417075	24.9770275	10.3757912	71.3891654	22.3173988	9.7701113	29.1000863	24.3227338	6.2502756	195.2773585	40.3738281	70.3912501	8.9821682
1	67.5938985	23.8052234	7.3335007	69.584279	25.9917708	7.3131564	67.1492851	27.8679316	8.3607301	83.6413126	27.0548246	9.4563717	75.5874462	27.0521797	7.7738894	83.0343934	24.7124837	10.4396353	71.002137	22.4121021	8.986568	34.7741206	9.9525457	9.6514507	165.1299848	25.713261	63.345102	6.1474757
0	66.2274484	27.6340801	7.4986247	80.0962869	25.5441259	7.6377408	81.3256613	23.7967202	6.1528201	84.2899465	24.1839914	10.5499556	71.8888884	19.7635053	3.7755946	78.4589812	23.425092	5.1514938	70.5446425	22.0412671	3.9505117	49.7533863	54.7788287	75.1636761	57.644928	5.254278	9.5880792	5.0562415
0	71.5137793	27.6739681	8.8343301	80.0769261	26.4994946	8.2709119	80.1984929	25.1031981	7.5974133	81.9691068	25.1670062	10.126052	69.7442514	20.7817926	7.580997	75.3374241	24.3140197	5.8622625	69.3379068	22.216095	6.3571357	99.697653	115.9398401	36.4918399	65.4918795	11.1901854	20.3639433	9.0956483
0	69.440672	27.9959547	8.3768124	79.3105947	26.5307446	7.7428206	78.9697004	25.077168	6.9263858	81.428735	25.1074242	9.6464795	67.4273112	21.0316298	6.7952676	73.7638968	24.539873	5.3894796	67.345557	22.5241075	5.5632469	73.0215645	100.8501047	31.5517175	60.1663535	9.7108279	13.2401601	9.8282788
0	69.9521987	26.1362077	7.6920959	81.5677123	24.5909892	8.158302	83.233583	22.7395564	7.3190587	87.1198441	22.990446	11.1769323	73.1480095	18.7702366	5.7662119	80.7626927	22.3566862	5.4383445	76.030058	20.6813689	4.7058747	35.6839037	62.7381349	56.2834728	59.5920031	5.8463458	12.5730053	19.8543612
0	69.9521987	26.1362077	7.6920959	81.5677123	24.5909892	8.158302	83.233583	22.7395564	7.3190587	87.1198441	22.990446	11.1769323	73.1480095	18.7702366	5.7662119	80.7626927	22.3566862	5.4383445	76.030058	20.6813689	4.7058747	35.6839037	62.7381349	56.2834728	59.5920031	5.8463458	12.5730053	19.8543612
0	81.1971671	22.3106291	8.3181994	81.8328726	22.1471865	6.092599	72.8698005	20.5969193	5.0952526	75.0877927	23.0916197	6.5749097	72.0328332	21.4210248	5.9049517	71.9136451	20.6061249	5.2647088	70.0814867	22.1902175	6.650803	44.2129724	40.9663286	7.5692661	7.443161	14.1271777	14.5686805	1.6739255
0	81.9328864	21.05091	9.1470015	83.2753813	20.6673223	6.3874775	72.0026551	19.3614747	5.8477743	75.3279909	21.7479045	7.1115303	71.1009743	20.337331	6.2082821	71.957385	19.2348335	5.7453993	68.7205438	21.170942	7.3363381	34.8805242	59.7075936	7.8994013	8.0414277	13.1355949	26.1078715	1.1236405
0	81.528008	21.4507891	8.777689	82.4047643	21.2213123	6.3237738	72.1764142	19.7190826	5.4778991	75.2298373	22.1072098	7.0011993	71.2638457	20.6652584	6.1572776	71.7651076	19.6443038	5.4375783	69.8515187	21.4678519	7.1045894	35.8296089	48.5640135	5.6301631	5.5598479	13.0395271	18.147254	1.4229899
0	79.7047423	24.2821344	8.6099271	78.2654588	24.2769647	9.0506449	74.3980008	21.6395276	2.5949856	74.968447	24.6329492	5.8505199	70.3503787	23.0026026	6.2600101	73.6194261	22.1363867	4.4684309	78.3288563	23.5517433	5.691323	61.6613381	53.5101112	15.7493033	2.0737511	40.5796744	10.4849875	8.113656
